percent,state,county
0.4,54,075
0.3,54,095
2.0,54,083
1.0,54,091
1.4,54,105
0.0,54,015
11.0,54,021
3.6,54,061
0.9,54,063
1.0,54,103
5.0,54,011
7.2,54,039
3.4,54,071
4.7,54,077
2.5,53,035
6.3,53,033
0.2,53,051
0.9,53,055
2.2,53,075
1.1,53,077
0.8,53,015
0.1,53,019
0.6,53,041
1.0,53,027
3.2,53,029
1.3,53,069
2.4,53,021
0.7,53,025
1.0,53,073
0.5,53,047
1.0,53,037
1.6,53,005
0.7,53,013
0.4,53,003
0.0,53,023
1.7,53,045
0.5,53,065
1.6,53,063
0.5,53,007
4.4,55,105
1.8,55,137
2.8,55,001
0.8,55,007
0.6,55,065
1.7,55,081
0.5,55,093
0.6,55,141
0.7,55,003
0.8,55,015
0.3,55,037
0.9,55,055
7.5,55,059
0.8,55,051
0.5,55,019
0.8,55,109
0.4,55,083
0.6,55,069
0.6,55,135
1.4,55,005
0.5,55,113
1.0,55,047
0.6,55,077
0.7,55,075
11.2,55,101
2.3,55,139
0.8,55,041
1.4,55,043
1.0,55,107
1.8,55,117
0.8,55,067
1.4,55,087
0.3,55,123
1.2,55,021
0.4,55,061
2.3,55,009
0.7,55,073
0.7,55,085
0.5,55,121
0.4,55,129
2.7,55,027
1.0,55,127
2.0,55,023
0.9,55,071
0.8,55,111
0.5,55,013
1.2,55,017
0.7,55,029
1.3,55,031
2.1,55,053
0.8,55,049
1.4,55,089
0.6,55,103
0.3,56,005
0.5,56,019
1.4,56,025
0.0,56,009
0.5,56,027
1.2,56,039
0.8,56,037
0.0,56,031
0.5,56,033
0.4,56,003
0.2,56,011
0.2,56,029
1.2,56,001
1.1,56,007
0.1,56,015
0.1,56,041
0.0,56,043
0.0,56,017
0.6,56,013
0.0,56,035
0.5,56,045
0.6,72,065
20.7,72,069
1.5,72,101
3.6,72,097
9.6,72,139
4.5,72,115
3.4,72,099
5.2,72,049
33.5,72,123
3.5,72,017
3.6,72,153
6.5,72,061
2.0,72,023
10.7,72,053
72.4,72,109
1.2,72,117
7.7,72,007
7.8,72,021
5.8,72,035
72.9,72,095
3.7,72,111
2.9,72,131
7.6,72,135
9.8,72,147
66.6,72,151
8.5,72,025
11.1,72,029
25.5,72,043
12.3,72,051
4.8,72,019
3.3,72,107
2.8,72,011
8.9,72,037
9.3,72,045
5.4,72,071
0.4,72,081
62.2,72,085
12.8,72,127
10.8,72,143
2.4,72,093
11.9,72,009
12.1,72,077
2.4,72,121
0.8,72,001
1.7,72,027
4.2,72,055
2.4,72,067
4.2,72,091
3.9,72,103
6.4,72,105
2.2,72,125
1.4,72,141
4.2,72,013
18.9,72,015
10.3,72,033
1.7,72,054
41.5,01,099
10.9,01,079
23.0,01,081
41.2,01,107
72.0,01,119
42.8,01,023
53.8,01,091
42.9,01,113
12.9,01,039
23.1,01,041
10.1,01,077
74.3,01,085
13.4,01,083
9.5,01,115
0.4,01,133
1.2,01,043
21.4,01,051
3.5,01,071
32.3,01,121
24.6,01,129
17.2,01,031
12.8,01,103
9.4,01,021
15.8,01,033
19.8,01,045
15.7,01,055
1.4,01,049
11.2,01,075
20.1,01,111
35.6,01,097
6.2,01,127
2.6,01,029
79.7,01,063
47.6,01,005
76.2,01,011
20.6,01,015
45.8,01,025
57.7,01,101
2.6,01,095
27.7,01,067
24.1,01,089
27.4,01,123
69.5,01,131
0.8,02,068
0.6,02,122
4.3,02,016
0.4,02,060
0.3,02,150
1.1,02,188
0.7,02,050
0.9,02,185
1.2,02,220
4.5,02,090
0.7,02,130
1.1,02,170
0.9,02,180
1.3,02,070
0.0,02,100
0.3,02,282
1.0,02,110
0.7,02,164
0.7,02,240
0.1,02,290
5.6,02,020
4.2,02,013
1.2,02,230
0.4,02,198
0.7,02,195
0.7,02,158
5.5,04,013
2.0,04,009
0.5,04,023
0.8,04,012
1.1,04,015
1.3,04,005
2.2,04,027
2.2,04,011
4.5,04,021
55.6,05,123
4.1,05,145
34.7,05,099
19.5,05,037
28.8,05,043
35.0,05,027
7.0,05,125
0.5,05,141
1.9,05,065
31.3,05,079
1.3,05,083
48.5,05,035
1.0,05,047
3.3,05,109
56.6,05,069
0.2,05,097
0.3,05,127
7.0,05,131
1.7,05,007
54.1,05,017
1.6,05,071
56.5,05,077
47.1,05,041
0.6,05,049
8.2,05,051
3.0,05,115
13.0,05,117
1.2,39,161
1.2,39,167
1.0,39,171
0.5,39,011
2.2,39,029
0.7,39,037
1.1,39,123
0.4,39,051
0.7,39,065
0.6,39,079
18.9,39,095
1.0,39,117
5.6,39,121
0.6,39,135
2.8,39,147
7.4,39,151
11.8,39,003
1.1,39,031
0.9,39,033
3.3,39,041
1.2,39,059
0.8,39,073
0.6,39,107
5.3,39,141
29.6,39,035
8.5,39,093
2.1,39,109
20.6,39,113
8.3,39,155
2.7,39,173
3.8,39,007
0.3,40,001
1.7,40,137
0.2,40,025
6.4,40,019
1.1,40,053
8.3,40,055
1.1,40,087
2.7,40,091
1.6,40,099
0.2,40,103
1.1,40,115
1.9,40,135
3.5,40,145
2.4,40,151
2.2,40,015
10.8,40,101
7.6,40,107
1.9,40,013
0.1,40,059
2.2,40,071
3.2,40,035
10.1,40,143
2.7,40,017
8.7,40,057
1.0,40,077
11.3,40,113
4.3,40,139
0.9,40,127
4.1,40,047
1.9,40,069
2.9,40,121
0.5,40,129
1.4,40,153
1.5,40,021
0.4,40,041
0.2,40,045
2.2,40,051
4.0,40,119
3.4,40,125
2.1,40,037
8.1,40,141
1.1,40,149
2.2,40,033
3.5,40,075
2.1,40,079
8.0,40,089
0.3,40,093
0.5,40,097
15.1,40,109
3.2,40,039
0.3,40,007
2.5,40,085
3.8,40,009
11.4,40,023
6.9,40,065
1.8,40,081
1.4,41,047
0.6,41,029
0.3,41,023
0.9,41,031
0.9,41,005
0.4,41,043
0.4,41,057
0.9,41,001
0.4,41,033
0.9,41,059
0.6,41,041
0.6,41,009
0.6,41,055
0.3,41,065
1.1,41,039
1.2,41,045
